"","RF","SPR"
"result.161",34,11
"result.162",36,11
"result.163",36,12
"result.164",36,12
"result.165",36,12
"result.166",36,12
"result.167",36,13
"result.168",34,12
"result.169",36,12
"result.170",36,13
"result.171",36,12
"result.172",36,12
"result.173",34,11
"result.174",34,11
"result.175",36,12
"result.176",36,12
"result.177",36,13
"result.178",36,12
"result.179",36,12
"result.180",36,13
"result.181",34,12
"result.182",36,13
"result.183",36,11
"result.184",36,13
"result.185",36,13
"result.186",36,13
"result.187",36,12
"result.188",34,11
"result.189",36,13
"result.190",36,11
"result.191",36,11
"result.192",36,13
"result.193",36,11
"result.194",36,13
"result.195",36,12
"result.196",36,13
"result.197",36,11
"result.198",36,12
"result.199",36,13
"result.200",36,14
"result.201",36,14
"result.202",34,12
"result.203",36,13
"result.204",36,11
"result.205",34,11
"result.206",36,13
"result.207",36,11
"result.208",36,13
"result.209",36,13
"result.210",34,12
"result.211",36,12
"result.212",36,11
"result.213",36,12
"result.214",34,12
"result.215",34,12
"result.216",36,12
"result.217",36,13
"result.218",36,13
"result.219",36,12
"result.220",34,11
"result.221",36,12
"result.222",36,12
"result.223",36,13
"result.224",36,13
"result.225",34,12
"result.226",36,14
"result.227",36,12
"result.228",36,12
"result.229",36,11
"result.230",36,13
"result.231",36,11
"result.232",34,11
"result.233",36,13
"result.234",34,11
"result.235",34,12
"result.236",36,14
"result.237",36,14
"result.238",36,12
"result.239",36,13
"result.240",36,13
"result.241",36,12
"result.242",36,12
"result.243",36,11
"result.244",36,12
"result.245",36,12
"result.246",36,13
"result.247",36,11
"result.248",36,12
"result.249",36,12
"result.250",36,12
"result.251",34,12
"result.252",36,12
"result.253",36,12
"result.254",36,11
"result.255",36,13
"result.256",36,13
"result.257",32,10
"result.258",36,12
"result.259",36,12
"result.260",36,11
"result.261",36,12
"result.262",36,12
"result.263",36,13
"result.264",36,12
"result.265",34,12
"result.266",36,12
"result.267",34,11
"result.268",36,11
"result.269",36,12
"result.270",36,12
"result.271",36,13
"result.272",36,13
"result.273",36,11
"result.274",36,11
"result.275",34,12
"result.276",36,11
"result.277",36,12
"result.278",32,10
"result.279",34,12
"result.280",34,12
"result.281",36,12
"result.282",36,14
"result.283",36,11
"result.284",36,13
"result.285",36,11
"result.286",36,12
"result.287",36,12
"result.288",36,13
"result.289",36,12
"result.290",36,13
"result.291",36,13
"result.292",36,12
"result.293",36,12
"result.294",36,11
"result.295",36,13
"result.296",36,12
"result.297",36,12
"result.298",36,14
"result.299",36,14
"result.300",36,12
"result.301",36,12
"result.302",36,13
"result.303",36,13
"result.304",36,12
"result.305",36,10
"result.306",36,12
"result.307",36,12
"result.308",36,12
"result.309",36,12
"result.310",32,12
"result.311",36,10
"result.312",36,12
"result.313",36,12
"result.314",36,13
"result.315",36,13
"result.316",36,12
"result.317",36,13
"result.318",36,13
"result.319",36,12
"result.320",36,12
"result.321",34,12
"result.322",36,12
"result.323",36,11
"result.324",36,11
"result.325",36,12
"result.326",36,13
"result.327",36,11
"result.328",36,12
"result.329",36,14
"result.330",36,12
"result.331",36,13
"result.332",34,12
"result.333",32,10
"result.334",36,13
"result.335",34,11
"result.336",36,13
"result.337",34,12
"result.338",36,13
"result.339",36,12
"result.340",36,12
"result.341",34,12
"result.342",36,12
"result.343",36,12
"result.344",36,13
"result.345",36,11
"result.346",36,12
"result.347",36,13
"result.348",36,12
"result.349",36,13
"result.350",36,13
"result.351",36,13
"result.352",36,12
"result.353",36,13
"result.354",36,12
"result.355",36,13
"result.356",34,12
"result.357",36,13
"result.358",36,13
"result.359",36,13
"result.360",36,13
"result.361",36,14
"result.362",34,11
"result.363",36,13
"result.364",36,11
"result.365",36,13
"result.366",36,13
"result.367",36,14
"result.368",36,11
"result.369",34,12
"result.370",36,13
"result.371",36,12
"result.372",36,11
"result.373",36,13
"result.374",36,12
"result.375",36,12
"result.376",34,12
"result.377",36,12
"result.378",36,12
"result.379",34,11
"result.380",34,11
"result.381",36,12
"result.382",36,13
"result.383",34,11
"result.384",36,12
"result.385",36,11
"result.386",36,12
"result.387",36,12
"result.388",36,13
"result.389",36,11
"result.390",36,11
"result.391",36,11
"result.392",36,13
"result.393",34,12
"result.394",36,11
"result.395",36,13
"result.396",36,12
"result.397",36,13
"result.398",36,12
"result.399",36,12
"result.400",34,11
"result.401",36,12
"result.402",36,13
"result.403",36,13
"result.404",36,12
"result.405",36,10
"result.406",36,13
"result.407",36,12
"result.408",36,12
"result.409",36,11
"result.410",36,11
"result.411",36,13
"result.412",36,13
"result.413",36,12
"result.414",36,11
"result.415",36,13
"result.416",36,11
"result.417",36,13
"result.418",34,12
"result.419",36,13
"result.420",36,13
"result.421",36,13
"result.422",36,12
"result.423",36,11
"result.424",36,12
"result.425",34,11
"result.426",36,12
"result.427",36,12
"result.428",36,13
"result.429",36,13
"result.430",34,11
"result.431",34,12
"result.432",36,12
"result.433",36,13
"result.434",36,12
"result.435",36,14
"result.436",36,12
"result.437",36,12
"result.438",34,11
"result.439",36,12
"result.440",36,12
"result.441",36,12
"result.442",32,11
"result.443",36,12
"result.444",36,13
"result.445",36,13
"result.446",36,13
"result.447",34,13
"result.448",36,12
"result.449",36,12
"result.450",36,12
"result.451",36,12
"result.452",36,13
"result.453",36,11
"result.454",36,13
"result.455",36,13
"result.456",36,12
"result.457",36,13
"result.458",34,13
"result.459",36,12
"result.460",34,12
"result.461",34,11
"result.462",36,12
"result.463",36,12
"result.464",34,12
"result.465",36,12
"result.466",36,12
"result.467",34,11
"result.468",36,12
"result.469",34,11
"result.470",36,12
"result.471",36,13
"result.472",34,12
"result.473",34,11
"result.474",36,13
"result.475",36,12
"result.476",36,13
"result.477",36,13
"result.478",36,13
"result.479",36,13
"result.480",36,12
"result.481",36,13
"result.482",36,13
"result.483",36,12
"result.484",36,13
"result.485",36,11
"result.486",36,12
"result.487",32,11
"result.488",34,12
"result.489",34,11
"result.490",36,13
"result.491",36,12
"result.492",34,12
"result.493",34,12
"result.494",36,13
"result.495",36,12
"result.496",36,12
"result.497",36,13
"result.498",36,12
"result.499",34,11
"result.500",34,12
"result.501",36,12
"result.502",36,12
"result.503",36,12
"result.504",32,11
"result.505",34,12
"result.506",36,12
"result.507",34,12
"result.508",36,13
"result.509",36,13
"result.510",36,12
"result.511",36,13
"result.512",34,10
"result.513",34,11
"result.514",36,12
"result.515",34,10
"result.516",36,12
"result.517",34,10
"result.518",34,12
"result.519",30,10
"result.520",36,13
"result.521",34,12
"result.522",36,11
"result.523",36,12
"result.524",34,12
"result.525",36,11
"result.526",34,12
"result.527",36,12
"result.528",36,12
"result.529",36,12
"result.530",34,12
"result.531",36,13
"result.532",34,12
"result.533",36,11
"result.534",36,10
"result.535",36,12
"result.536",36,12
"result.537",36,11
"result.538",36,13
"result.539",36,13
"result.540",34,13
"result.541",34,13
"result.542",36,12
"result.543",36,11
"result.544",36,12
"result.545",36,12
"result.546",36,14
"result.547",36,13
"result.548",36,12
"result.549",34,11
"result.550",36,12
"result.551",36,13
"result.552",34,12
"result.553",34,12
"result.554",36,13
"result.555",34,10
"result.556",36,14
"result.557",36,13
"result.558",36,12
"result.559",36,12
"result.560",36,13
"result.561",36,13
"result.562",36,11
"result.563",36,13
"result.564",36,12
"result.565",36,12
"result.566",34,13
"result.567",36,13
"result.568",32,11
"result.569",36,11
"result.570",34,10
"result.571",36,13
"result.572",36,12
"result.573",36,13
"result.574",36,12
"result.575",36,11
"result.576",36,13
"result.577",36,12
"result.578",36,11
"result.579",34,12
"result.580",34,9
"result.581",36,12
"result.582",34,12
"result.583",36,12
"result.584",36,13
"result.585",36,13
"result.586",34,10
"result.587",36,12
"result.588",36,13
"result.589",36,12
"result.590",36,12
"result.591",36,12
"result.592",36,12
"result.593",36,12
"result.594",36,13
"result.595",36,12
"result.596",36,13
"result.597",36,12
"result.598",34,12
"result.599",36,12
"result.600",36,13
"result.601",36,12
"result.602",34,11
"result.603",36,11
"result.604",36,13
"result.605",34,11
"result.606",36,11
"result.607",34,12
"result.608",36,12
"result.609",36,13
"result.610",36,12
"result.611",36,12
"result.612",36,13
"result.613",36,13
"result.614",36,12
"result.615",36,14
"result.616",36,13
"result.617",36,11
"result.618",36,12
"result.619",34,11
"result.620",36,12
"result.621",36,14
"result.622",36,12
"result.623",36,13
"result.624",36,12
"result.625",36,13
"result.626",36,12
"result.627",36,13
"result.628",36,13
"result.629",36,13
"result.630",36,13
"result.631",36,13
"result.632",36,12
"result.633",36,13
"result.634",36,12
"result.635",36,12
"result.636",36,12
"result.637",36,11
"result.638",36,11
"result.639",36,13
"result.640",36,12
"result.641",34,11
"result.642",36,12
"result.643",36,13
"result.644",36,13
"result.645",36,12
"result.646",36,12
"result.647",36,12
"result.648",34,12
"result.649",36,13
"result.650",34,12
"result.651",36,13
"result.652",36,12
"result.653",36,13
"result.654",34,11
"result.655",36,14
"result.656",36,10
"result.657",36,13
"result.658",36,13
"result.659",36,12
"result.660",36,11
"result.661",36,12
"result.662",34,11
"result.663",36,13
"result.664",34,12
"result.665",36,13
"result.666",36,13
"result.667",36,13
"result.668",36,13
"result.669",34,12
"result.670",36,12
"result.671",36,12
"result.672",36,13
"result.673",36,12
"result.674",36,12
"result.675",36,11
"result.676",32,10
"result.677",36,13
"result.678",36,12
"result.679",36,12
"result.680",36,12
"result.681",36,12
"result.682",34,12
"result.683",36,11
"result.684",36,12
"result.685",34,12
"result.686",34,12
"result.687",36,13
"result.688",36,12
"result.689",36,12
"result.690",32,10
"result.691",36,12
"result.692",36,13
"result.693",36,11
"result.694",34,11
"result.695",36,10
"result.696",36,12
"result.697",36,13
"result.698",36,13
"result.699",34,12
"result.700",36,13
"result.701",36,13
"result.702",36,12
"result.703",36,11
"result.704",36,12
"result.705",36,12
"result.706",36,13
"result.707",36,13
"result.708",34,12
"result.709",34,11
"result.710",34,12
"result.711",36,12
"result.712",34,11
"result.713",36,13
"result.714",36,12
"result.715",36,12
"result.716",36,12
"result.717",36,12
"result.718",36,12
"result.719",36,12
"result.720",34,11
"result.721",34,12
"result.722",36,13
"result.723",36,13
"result.724",34,12
"result.725",36,13
"result.726",34,12
"result.727",36,13
"result.728",36,12
"result.729",36,11
"result.730",32,11
"result.731",36,12
"result.732",36,13
"result.733",36,12
"result.734",32,11
"result.735",32,11
"result.736",36,12
"result.737",36,12
"result.738",36,12
"result.739",36,11
"result.740",36,13
"result.741",36,12
"result.742",36,13
"result.743",36,11
"result.744",34,12
"result.745",36,11
"result.746",36,13
"result.747",36,12
"result.748",36,12
"result.749",36,12
"result.750",34,12
"result.751",36,12
"result.752",36,13
"result.753",36,12
"result.754",36,12
"result.755",36,13
"result.756",32,10
"result.757",36,12
"result.758",36,12
"result.759",32,11
"result.760",34,11
"result.761",36,10
"result.762",36,12
"result.763",36,12
"result.764",36,12
"result.765",36,14
"result.766",36,13
"result.767",36,12
"result.768",36,12
"result.769",36,13
"result.770",36,12
"result.771",36,13
"result.772",36,11
"result.773",36,13
"result.774",36,13
"result.775",36,12
"result.776",36,13
"result.777",36,13
"result.778",36,11
"result.779",34,11
"result.780",36,10
"result.781",36,12
"result.782",34,11
"result.783",36,13
"result.784",36,13
"result.785",34,12
"result.786",36,13
"result.787",34,13
"result.788",36,12
"result.789",36,11
"result.790",36,12
"result.791",36,13
"result.792",36,13
"result.793",34,12
"result.794",36,14
"result.795",36,12
"result.796",36,12
"result.797",34,10
"result.798",36,13
"result.799",34,12
"result.800",36,12
"result.801",36,12
"result.802",36,13
"result.803",36,12
"result.804",34,11
"result.805",36,13
"result.806",36,11
"result.807",36,13
"result.808",36,13
"result.809",34,11
"result.810",36,11
"result.811",34,12
"result.812",34,12
"result.813",36,12
"result.814",36,11
"result.815",36,12
"result.816",36,13
"result.817",36,12
"result.818",36,11
"result.819",36,12
"result.820",36,12
"result.821",36,12
"result.822",34,12
"result.823",34,11
"result.824",34,12
"result.825",34,10
"result.826",36,14
"result.827",34,12
"result.828",36,12
"result.829",34,12
"result.830",34,12
"result.831",36,12
"result.832",36,12
"result.833",36,12
"result.834",36,13
"result.835",36,12
"result.836",36,13
"result.837",36,11
"result.838",34,11
"result.839",36,12
"result.840",36,12
"result.841",36,13
"result.842",34,11
"result.843",36,12
"result.844",36,13
"result.845",36,13
"result.846",36,12
"result.847",36,11
"result.848",36,13
"result.849",36,13
"result.850",36,13
"result.851",36,12
"result.852",36,13
"result.853",36,12
"result.854",36,12
"result.855",36,14
"result.856",36,13
"result.857",36,10
"result.858",36,13
"result.859",36,13
"result.860",36,12
"result.861",36,12
"result.862",34,13
"result.863",36,13
"result.864",36,12
"result.865",36,14
"result.866",34,10
"result.867",34,11
"result.868",34,11
"result.869",36,13
"result.870",34,12
"result.871",36,14
"result.872",36,12
"result.873",36,13
"result.874",36,12
"result.875",36,13
"result.876",34,13
"result.877",36,13
"result.878",36,10
"result.879",36,12
"result.880",36,12
"result.881",36,14
"result.882",36,11
"result.883",36,12
"result.884",36,13
"result.885",36,12
"result.886",36,13
"result.887",36,13
"result.888",36,13
"result.889",36,12
"result.890",34,13
"result.891",36,12
"result.892",36,12
"result.893",36,12
"result.894",34,12
"result.895",36,11
"result.896",36,11
"result.897",36,13
"result.898",36,13
"result.899",36,12
"result.900",36,12
"result.901",36,12
"result.902",36,13
"result.903",36,13
"result.904",36,12
"result.905",36,13
"result.906",34,12
"result.907",36,13
"result.908",36,12
"result.909",36,13
"result.910",36,12
"result.911",36,12
"result.912",36,12
"result.913",34,13
"result.914",36,13
"result.915",36,12
"result.916",36,13
"result.917",36,13
"result.918",36,12
"result.919",32,11
"result.920",34,12
"result.921",36,11
"result.922",34,12
"result.923",36,13
"result.924",34,12
"result.925",36,14
"result.926",36,13
"result.927",36,13
"result.928",36,12
"result.929",34,12
"result.930",34,11
"result.931",36,12
"result.932",36,12
"result.933",36,12
"result.934",36,12
"result.935",36,13
"result.936",36,13
"result.937",36,13
"result.938",34,11
"result.939",36,12
"result.940",36,12
"result.941",36,13
"result.942",34,11
"result.943",36,12
"result.944",36,11
"result.945",36,13
"result.946",36,12
"result.947",36,12
"result.948",36,12
"result.949",36,12
"result.950",36,14
"result.951",36,13
"result.952",34,12
"result.953",36,13
"result.954",36,12
"result.955",36,12
"result.956",36,13
"result.957",36,12
"result.958",36,12
"result.959",36,13
"result.960",36,13
"result.961",36,11
"result.962",36,12
"result.963",36,12
"result.964",36,13
"result.965",36,12
"result.966",36,12
"result.967",36,11
"result.968",36,12
"result.969",36,13
"result.970",34,11
"result.971",36,12
"result.972",36,11
"result.973",32,10
"result.974",36,13
"result.975",36,12
"result.976",36,13
"result.977",36,13
"result.978",36,13
"result.979",36,13
"result.980",36,13
"result.981",36,13
"result.982",36,12
"result.983",36,11
"result.984",32,10
"result.985",34,12
"result.986",34,12
"result.987",36,12
"result.988",32,11
"result.989",36,13
"result.990",36,12
"result.991",36,11
"result.992",36,12
"result.993",36,12
"result.994",36,12
"result.995",36,11
"result.996",36,12
"result.997",36,13
"result.998",36,12
"result.999",34,12
"result.1000",34,12
"result.1001",34,11
"result.1002",36,12
"result.1003",36,11
"result.1004",36,13
"result.1005",36,12
"result.1006",36,13
"result.1007",36,11
"result.1008",32,10
"result.1009",36,12
"result.1010",36,13
"result.1011",36,10
"result.1012",36,10
"result.1013",36,13
"result.1014",36,13
"result.1015",36,13
"result.1016",36,13
"result.1017",34,12
"result.1018",36,13
"result.1019",36,13
"result.1020",36,11
"result.1021",34,11
"result.1022",36,13
"result.1023",34,12
"result.1024",36,12
"result.1025",36,12
"result.1026",36,13
"result.1027",36,13
"result.1028",36,13
"result.1029",36,12
"result.1030",36,13
"result.1031",34,13
"result.1032",36,12
"result.1033",36,13
"result.1034",36,11
"result.1035",36,13
"result.1036",32,11
"result.1037",36,12
"result.1038",34,11
"result.1039",34,10
"result.1040",34,11
"result.1041",34,12
"result.1042",36,12
"result.1043",36,12
"result.1044",36,13
"result.1045",36,13
"result.1046",36,12
"result.1047",36,11
"result.1048",36,11
"result.1049",36,10
"result.1050",36,11
"result.1051",36,12
"result.1052",36,13
"result.1053",36,13
"result.1054",36,12
"result.1055",36,13
"result.1056",36,13
"result.1057",34,13
"result.1058",36,13
"result.1059",36,12
"result.1060",36,13
"result.1061",36,11
"result.1062",36,11
"result.1063",36,13
"result.1064",34,11
"result.1065",36,13
"result.1066",36,13
"result.1067",36,13
"result.1068",36,13
"result.1069",32,11
"result.1070",36,13
"result.1071",36,12
"result.1072",34,11
"result.1073",36,13
"result.1074",36,12
"result.1075",36,12
"result.1076",36,13
"result.1077",36,13
"result.1078",36,12
"result.1079",36,11
"result.1080",34,10
"result.1081",34,13
"result.1082",36,12
"result.1083",36,12
"result.1084",36,12
"result.1085",34,12
"result.1086",36,13
"result.1087",36,13
"result.1088",36,12
"result.1089",34,11
"result.1090",36,13
"result.1091",36,11
"result.1092",36,12
"result.1093",34,11
"result.1094",36,12
"result.1095",36,12
"result.1096",36,12
"result.1097",36,11
"result.1098",36,12
"result.1099",36,12
"result.1100",36,11
"result.1101",36,11
"result.1102",36,11
"result.1103",36,12
"result.1104",36,12
"result.1105",36,12
"result.1106",36,12
"result.1107",36,13
"result.1108",36,14
"result.1109",36,12
"result.1110",36,13
"result.1111",36,13
"result.1112",36,13
"result.1113",36,12
"result.1114",36,13
"result.1115",36,12
"result.1116",36,12
"result.1117",36,13
"result.1118",34,12
"result.1119",36,12
"result.1120",34,12
"result.1121",34,11
"result.1122",36,12
"result.1123",36,12
"result.1124",36,13
"result.1125",34,11
"result.1126",36,12
"result.1127",34,12
"result.1128",34,12
"result.1129",36,11
"result.1130",36,13
"result.1131",34,11
"result.1132",36,12
"result.1133",36,12
"result.1134",36,13
"result.1135",36,12
"result.1136",36,13
"result.1137",36,13
"result.1138",36,12
"result.1139",36,12
"result.1140",32,9
"result.1141",36,10
"result.1142",36,13
"result.1143",36,12
"result.1144",36,12
"result.1145",36,12
"result.1146",36,12
"result.1147",36,12
"result.1148",36,14
"result.1149",36,12
"result.1150",36,13
"result.1151",36,12
"result.1152",36,13
"result.1153",36,12
"result.1154",34,12
"result.1155",36,12
"result.1156",36,13
"result.1157",32,11
"result.1158",36,11
"result.1159",36,13
"result.1160",36,12
"result.1161",36,12
"result.1162",36,12
"result.1163",36,12
"result.1164",36,12
"result.1165",36,13
"result.1166",34,10
"result.1167",36,12
"result.1168",34,12
"result.1169",36,12
"result.1170",36,13
"result.1171",36,13
"result.1172",36,13
"result.1173",36,13
"result.1174",36,12
"result.1175",36,13
"result.1176",36,12
"result.1177",36,13
"result.1178",34,10
"result.1179",36,12
"result.1180",36,13
"result.1181",36,13
"result.1182",36,12
"result.1183",36,13
"result.1184",34,11
"result.1185",34,10
"result.1186",36,12
"result.1187",36,13
"result.1188",36,12
"result.1189",36,13
"result.1190",36,13
"result.1191",36,13
"result.1192",34,11
"result.1193",34,11
"result.1194",36,12
"result.1195",36,13
"result.1196",34,12
"result.1197",36,11
"result.1198",36,12
"result.1199",36,12
"result.1200",36,13
"result.1201",36,12
"result.1202",34,12
"result.1203",36,13
"result.1204",34,11
"result.1205",36,12
"result.1206",32,11
"result.1207",36,12
"result.1208",36,12
"result.1209",36,12
"result.1210",36,12
"result.1211",36,12
"result.1212",36,13
"result.1213",36,12
"result.1214",36,13
"result.1215",36,12
"result.1216",34,11
"result.1217",34,11
"result.1218",36,13
"result.1219",34,12
"result.1220",36,13
"result.1221",36,13
"result.1222",36,12
"result.1223",36,13
"result.1224",36,13
"result.1225",36,12
"result.1226",36,12
"result.1227",36,12
"result.1228",36,13
"result.1229",36,13
"result.1230",36,13
"result.1231",36,13
"result.1232",34,11
"result.1233",34,12
"result.1234",36,12
"result.1235",36,12
"result.1236",34,12
"result.1237",36,12
"result.1238",36,12
"result.1239",36,12
"result.1240",36,13
"result.1241",34,12
"result.1242",34,11
"result.1243",36,12
"result.1244",36,11
"result.1245",36,13
"result.1246",36,12
"result.1247",36,11
"result.1248",36,12
"result.1249",36,12
"result.1250",36,13
"result.1251",34,11
"result.1252",36,12
"result.1253",36,11
"result.1254",32,10
"result.1255",36,12
"result.1256",34,13
"result.1257",36,13
"result.1258",36,13
"result.1259",34,10
"result.1260",36,12
"result.1261",36,11
"result.1262",36,12
"result.1263",36,14
"result.1264",36,12
"result.1265",34,12
"result.1266",36,12
"result.1267",34,11
"result.1268",36,13
"result.1269",36,13
"result.1270",34,11
"result.1271",36,13
"result.1272",36,12
"result.1273",36,13
"result.1274",36,11
"result.1275",36,13
"result.1276",34,12
"result.1277",34,12
"result.1278",34,11
"result.1279",36,13
"result.1280",36,12
"result.1281",34,11
"result.1282",36,12
"result.1283",36,12
"result.1284",36,13
"result.1285",36,13
"result.1286",32,10
"result.1287",36,11
"result.1288",36,13
"result.1289",34,11
"result.1290",36,12
"result.1291",36,13
"result.1292",36,12
"result.1293",36,13
"result.1294",36,11
"result.1295",36,13
"result.1296",36,12
"result.1297",36,13
"result.1298",36,13
"result.1299",36,12
"result.1300",32,11
"result.1301",36,13
"result.1302",36,13
"result.1303",36,13
"result.1304",36,13
"result.1305",36,13
"result.1306",36,11
"result.1307",36,13
"result.1308",36,12
"result.1309",36,11
"result.1310",36,12
"result.1311",36,12
"result.1312",34,12
"result.1313",36,13
"result.1314",36,13
"result.1315",36,12
"result.1316",36,13
"result.1317",36,12
"result.1318",36,13
"result.1319",36,13
"result.1320",34,11
"result.1321",36,12
"result.1322",34,12
"result.1323",36,13
"result.1324",36,13
"result.1325",36,13
"result.1326",36,12
"result.1327",36,12
"result.1328",32,11
"result.1329",36,13
"result.1330",34,11
"result.1331",36,13
"result.1332",34,12
"result.1333",34,13
"result.1334",36,13
"result.1335",36,12
"result.1336",36,12
"result.1337",36,12
"result.1338",34,12
"result.1339",36,14
"result.1340",36,12
"result.1341",36,14
"result.1342",34,11
"result.1343",36,13
"result.1344",36,13
"result.1345",36,12
"result.1346",34,10
"result.1347",36,12
"result.1348",36,13
"result.1349",36,13
"result.1350",36,13
"result.1351",36,12
"result.1352",36,12
"result.1353",36,12
"result.1354",34,13
"result.1355",36,13
"result.1356",34,12
"result.1357",36,13
"result.1358",36,13
"result.1359",34,12
"result.1360",36,13
"result.1361",36,12
"result.1362",36,13
"result.1363",36,13
"result.1364",36,14
"result.1365",34,11
"result.1366",36,12
"result.1367",36,14
"result.1368",36,11
"result.1369",34,12
"result.1370",34,11
"result.1371",36,12
"result.1372",36,12
"result.1373",36,13
"result.1374",36,11
"result.1375",36,13
"result.1376",36,11
"result.1377",36,13
"result.1378",36,12
"result.1379",36,13
"result.1380",36,12
"result.1381",36,13
"result.1382",34,11
"result.1383",34,11
"result.1384",34,12
"result.1385",36,12
"result.1386",36,11
"result.1387",36,12
"result.1388",36,13
"result.1389",36,12
"result.1390",34,10
"result.1391",34,12
"result.1392",36,12
"result.1393",36,13
"result.1394",36,13
"result.1395",36,13
"result.1396",34,12
"result.1397",36,13
"result.1398",36,12
"result.1399",32,11
"result.1400",36,12
"result.1401",36,12
"result.1402",36,13
"result.1403",36,12
"result.1404",36,12
"result.1405",34,11
"result.1406",36,12
"result.1407",34,11
"result.1408",36,12
"result.1409",36,13
"result.1410",36,13
"result.1411",36,12
"result.1412",36,12
"result.1413",36,12
"result.1414",36,12
"result.1415",36,12
"result.1416",36,13
"result.1417",36,13
"result.1418",36,13
"result.1419",36,12
"result.1420",36,13
"result.1421",36,13
"result.1422",36,11
"result.1423",36,13
"result.1424",36,13
"result.1425",34,12
"result.1426",34,12
"result.1427",36,12
"result.1428",36,10
"result.1429",36,13
"result.1430",36,11
"result.1431",36,12
"result.1432",36,12
"result.1433",36,12
"result.1434",34,12
"result.1435",36,13
"result.1436",32,11
"result.1437",34,10
"result.1438",36,12
"result.1439",36,12
"result.1440",36,12
"result.1441",36,14
"result.1442",36,13
"result.1443",36,12
"result.1444",36,14
"result.1445",36,12
"result.1446",34,13
"result.1447",36,12
"result.1448",36,12
"result.1449",36,11
"result.1450",36,12
"result.1451",36,12
"result.1452",36,13
"result.1453",36,12
"result.1454",36,13
"result.1455",36,13
"result.1456",36,13
"result.1457",36,13
"result.1458",36,12
"result.1459",36,13
"result.1460",36,13
"result.1461",36,12
"result.1462",36,12
"result.1463",34,13
"result.1464",36,11
"result.1465",36,11
"result.1466",36,12
"result.1467",36,13
"result.1468",36,13
"result.1469",36,12
"result.1470",34,12
"result.1471",36,13
"result.1472",30,11
"result.1473",36,13
"result.1474",34,12
"result.1475",36,12
"result.1476",36,11
"result.1477",36,13
"result.1478",36,12
"result.1479",36,13
"result.1480",36,12
"result.1481",36,13
"result.1482",36,12
"result.1483",36,13
"result.1484",36,12
"result.1485",36,13
"result.1486",36,10
"result.1487",36,11
"result.1488",34,12
"result.1489",34,11
"result.1490",36,13
"result.1491",36,13
"result.1492",36,13
"result.1493",36,11
"result.1494",36,12
"result.1495",34,12
"result.1496",36,12
"result.1497",36,12
